10000 25000
3338 3860 48
5021 7514 63
5783 8433 58
1437 8414 48
1410 2923 38
6263 9669 15
7868 9563 90
1042 9729 22
2423 4447 71
2315 9857 16
7317 8010 95
2925 7893 13
1785 3261 35
2262 8889 25
2689 9667 50
2831 3481 64
715 2496 26
72 773 57
6967 8486 24
1818 4791 18
4208 8116 26
7487 9632 74
177 9106 22
4127 5254 52
4995 5785 31
1851 2150 48
1194 5807 53
1158 8977 12
4489 6074 67
2561 9059 24
423 2936 96
160 2192 14
1443 9818 85
627 8821 87
4936 8227 60
5118 8463 13
707 2986 93
1916 3989 68
4461 7155 38
82 8639 39
3648 8392 32
1392 8914 67
2366 4960 48
6239 7630 100
1122 5633 22
3349 4374 62
143 9865 95
4124 5190 60
4995 7348 92
691 9470 74
4827 6378 49
2900 5125 81
8034 9253 61
1919 4469 77
898 3069 84
1319 3360 46
7865 9989 50
4356 6320 73
4297 7883 84
1083 3813 94
1094 5518 75
463 5334 49
802 4572 33
3065 6230 70
7967 9738 78
171 2661 32
5086 9590 37
7146 7284 63
4012 9355 59
65 4234 44
3368 4155 82
2776 7657 82
5862 9444 74
3127 5783 22
665 3852 17
283 2931 91
810 815 46
3102 5322 42
6550 8198 5
3303 9012 48
5308 7217 32
2129 2441 13
2590 6741 38
169 2807 17
1833 3827 50
5014 8341 23
3262 6494 45
2426 7315 91
5329 8688 74
1618 3713 95
1776 8305 25
1286 4777 96
4838 7464 77
2689 8014 76
272 2594 13
3837 5740 73
3575 9074 57
3254 7863 4
4553 7042 88
2169 7800 52
3758 9485 84
6730 9358 80
4454 6768 24
1263 6201 73
8435 9402 87
1582 6842 47
3701 3781 31
4258 9713 22
177 8252 38
1529 4357 56
3098 4639 97
2071 8134 27
5608 7983 37
2856 7929 6
2031 4342 96
3306 8734 14
5702 6573 84
1005 4280 40
801 3117 50
1754 5468 70
2733 3006 96
2808 7284 75
3833 8298 73
5014 6530 85
3260 4125 23
7227 8170 85
3408 9466 74
5210 9169 69
7175 8215 50
5343 7969 12
2230 3202 31
6366 6806 76
2497 8946 31
5487 6866 95
4173 6591 37
5711 9979 65
459 9828 89
844 6275 13
960 4860 48
1689 7696 24
4314 5326 59
1504 3630 23
5586 7103 1
3375 3630 42
709 9853 42
5276 8255 11
7405 9906 76
99 9198 99
3362 5945 1
2882 5391 17
4212 7666 3
1324 2120 3
60 8408 88
699 8056 11
1152 2867 15
3448 7824 86
2604 8377 96
335 5023 67
5146 6181 47
2149 7711 6
6816 9832 60
329 615 69
2882 3436 72
3507 9430 78
1988 9215 37
831 3026 48
3996 4137 42
3965 7085 60
6392 9239 79
7688 8119 54
3207 7064 2
1997 6054 76
5183 5856 96
4882 9792 30
4797 5725 73
1072 6495 95
4451 6730 83
7140 9343 95
6068 9433 72
5747 9754 82
1369 1644 15
7293 8310 81
316 5962 7
1547 4240 91
2557 9992 30
2719 3475 17
7447 8290 46
3203 7061 52
2308 6722 98
1060 4673 77
3008 3062 54
1431 5695 89
2690 8639 10
3321 9479 12
603 4871 16
5065 8164 54
651 4493 9
3473 9530 71
6007 9592 50
3914 6818 70
9 3758 71
6374 6475 52
1289 9334 95
672 6674 30
1269 8013 85
6928 7802 74
2700 5675 5
7238 9622 8
3174 8379 53
3967 8522 85
1182 6682 91
1859 4749 37
1086 6371 29
1904 2042 17
971 7773 63
3021 7818 48
975 3857 65
8385 8557 41
751 5950 38
7464 8149 56
959 4588 21
538 2007 42
2644 8265 25
176 1432 40
5420 6036 68
9283 9770 48
181 4450 19
201 832 83
5736 8223 91
2039 7971 15
4953 6094 45
6089 8415 60
6503 6816 4
772 1330 99
1476 4559 79
667 7729 62
6131 7075 20
8376 9536 49
2025 9728 21
509 4616 24
2239 5039 41
4980 6987 73
2201 3867 33
180 8464 11
6342 9828 90
2449 4937 88
2192 6462 87
2705 9377 74
2043 3025 52
2317 6098 10
1296 7449 23
3393 4788 90
8699 9889 59
5624 6204 12
2799 3078 51
8225 9543 91
5041 9904 26
1690 6579 98
4649 6279 69
1770 8132 37
3525 4077 100
1231 1706 58
4261 6746 40
1449 4337 19
3051 6275 45
619 5734 16
2855 9560 53
1627 2251 35
1961 8474 47
3818 7678 88
4900 8241 20
52 3390 50
1653 7504 95
5045 8845 76
6937 8124 27
3240 4087 20
9278 9460 29
2979 4673 68
7075 7184 26
3551 9685 85
798 4998 60
3349 7380 55
306 2511 31
1747 6714 29
4952 7632 76
5940 8446 13
6740 8156 55
7558 9591 85
7285 8357 33
764 9837 46
2324 6747 21
2190 6649 63
6581 8098 17
7015 9529 49
599 3988 99
6429 9592 71
5697 7243 63
78 2212 4
4120 4991 11
2948 3466 95
1021 5372 96
4571 9537 38
1855 6884 98
6594 7541 93
5224 8020 74
5298 6599 84
1209 3028 81
612 4289 45
2594 4804 92
2307 9093 1
4008 8715 9
5420 8224 93
3417 7494 94
3037 7436 16
5553 6252 50
3156 3218 21
2665 6214 98
653 2498 83
7929 9125 78
6184 9451 63
43 6840 68
2848 3081 62
4871 5065 62
22 4909 45
4729 8978 31
2829 3567 79
1371 7667 42
751 2241 6
3816 4382 78
6098 9618 52
3788 4887 75
2930 4940 64
4914 5849 19
712 4022 9
3491 9994 85
195 564 73
2833 5941 5
1473 9612 72
1242 7354 35
4692 8924 30
1655 1659 38
4807 8445 85
1855 5002 45
7720 9100 2
3783 4688 64
1647 2180 22
1894 3315 49
2980 6108 40
3472 6623 15
2961 7161 42
142 3395 96
3985 4539 89
4624 7885 49
2719 5599 26
1976 2079 93
4684 5090 46
1173 5973 33
7988 8222 63
1293 2352 34
1774 4527 18
1292 5519 2
9750 9975 71
1719 8259 47
5567 8279 98
9499 9519 93
5073 7920 65
2784 6044 3
198 4100 32
6399 7623 14
4232 6295 14
518 4358 70
850 3374 52
6189 8144 40
7618 7840 58
2746 2795 47
281 2261 29
6390 8513 19
4691 6943 75
1365 3039 37
1979 2230 3
5238 6155 85
678 4314 65
2447 8753 85
5689 8401 94
4033 9397 44
715 3202 37
802 5451 11
775 6873 33
986 3071 80
991 4790 30
5924 9155 8
4543 9044 56
2064 7256 38
7 8404 70
2184 6259 31
2276 7897 59
1246 3309 35
5073 8729 10
3578 4986 52
2262 9659 52
1320 4437 89
3996 9822 13
2271 6604 99
7811 9119 40
4688 6968 31
2130 5219 7
6182 9568 68
2866 6246 49
1830 6462 25
3961 6358 44
705 1684 6
842 3592 73
812 6747 68
1737 8209 66
3339 7634 56
4838 5441 94
327 1439 69
1299 5888 52
5263 9432 91
3753 4737 20
263 7483 55
3905 5582 9
7966 9547 58
3498 8686 13
5496 6036 48
912 9066 18
4397 9850 81
3168 4274 43
2107 6344 82
4074 8128 45
8192 9308 99
2230 7427 20
941 7426 22
5378 6271 98
2413 2948 89
3260 7407 38
3240 9702 64
797 5563 21
1745 2190 69
5332 8475 76
4253 9138 39
4705 6253 14
6903 9576 42
4243 8430 41
3185 7647 62
5373 7991 10
26 755 88
5880 7818 70
62 1985 18
1397 3133 81
152 8548 60
6234 7908 26
3171 9671 22
156 3860 74
4467 5365 26
7630 9835 63
3139 6487 44
3354 4683 97
5511 9737 11
1058 4327 70
2949 8233 14
1737 8002 62
5178 8054 49
8797 9387 27
4123 7504 7
2256 2542 17
7361 8171 72
8059 9558 82
7015 9492 19
3944 9283 7
5230 7719 8
8731 9222 86
5786 7295 75
5232 7446 15
7348 9256 43
1238 3041 52
1576 9955 5
6442 8971 43
3959 9226 23
2313 9431 96
6315 8974 38
7108 7412 70
3736 4746 23
3543 9034 8
1388 8295 58
323 948 14
452 4181 50
1378 3906 30
4759 6011 40
2951 4471 75
3045 5444 92
1815 4854 65
1648 7336 65
873 9916 10
1053 4477 46
1654 9069 22
6782 9410 11
3126 9936 73
4953 9164 18
918 9363 22
3655 5950 30
2336 4098 2
4976 5514 83
1792 7931 26
5736 9602 33
2568 5196 73
382 1212 17
1826 2413 53
6717 7437 8
153 6563 41
4326 6111 75
2813 8212 61
2971 7571 30
487 7536 87
6113 8480 28
4571 6217 30
4979 6260 41
424 7449 71
2165 7407 66
2487 8586 86
7714 7956 75
6168 9906 51
216 1926 30
7574 8329 76
4353 5378 72
5285 8479 47
2955 8095 79
339 2821 35
6812 8838 55
4784 8517 90
749 1532 61
3544 7464 97
2127 6664 2
2609 5945 38
5722 8048 84
4417 8477 93
4959 6145 24
4665 7581 57
4633 8555 94
994 4668 78
4171 5407 80
6061 7280 52
101 6653 23
482 2776 31
2013 9572 75
2236 8344 61
123 5035 66
2314 9153 16
4030 5150 15
1741 2526 35
4382 6532 14
1179 4809 42
3203 3854 90
5107 5601 13
4193 9202 9
4140 8991 35
5092 8524 18
3734 4605 35
5230 8878 13
3327 8981 24
6257 8689 60
2399 5665 36
3029 6798 91
5273 9230 5
1992 2482 63
3963 7327 61
2678 8522 62
640 6017 72
1854 6211 66
433 1150 43
6996 7854 61
8473 9218 49
3640 7894 87
5498 8985 27
771 4003 79
2877 3912 90
1961 2105 43
3958 8436 98
1453 8964 31
5676 8998 16
1807 1862 89
230 3032 40
4458 7941 11
3562 7396 14
548 1832 30
4677 8920 81
1833 5168 7
4809 4934 83
4977 6227 44
1677 3922 98
4122 4564 86
1812 5757 46
7379 8842 34
3794 8874 58
1430 8131 29
2080 3894 86
6063 6381 66
7610 8916 41
5077 6847 50
3747 8295 11
2464 4531 88
538 681 21
7468 8760 94
1863 8987 46
2304 4443 70
3850 9712 47
6355 8101 61
3415 6540 9
3221 5742 22
2027 3242 68
105 3052 65
2661 6591 70
2880 9455 56
4053 9974 22
5412 9048 18
3475 7940 78
2633 8169 4
305 3427 79
2991 6055 43
257 6716 99
6962 7775 2
847 2771 66
1257 1401 79
1754 7342 62
2825 3133 59
1987 9618 37
2840 4514 28
6137 9716 46
3783 4881 75
2455 4571 22
571 8477 49
5982 8602 47
2713 3684 20
2502 8831 49
1609 4919 3
2226 4573 81
2456 7497 75
3704 8611 11
7974 9410 24
5267 6152 41
53 5775 59
4998 8198 79
6055 6384 20
5089 9899 56
6610 7211 61
3396 4985 57
5558 7338 98
3715 7713 74
2552 5189 98
5367 8457 7
3709 4869 83
2892 2946 92
2353 5853 62
225 7566 71
2921 8823 85
98 3918 34
7172 9025 69
5084 6108 66
5701 7117 35
2851 9542 50
5505 8039 91
6024 9425 95
2453 5041 83
272 7602 26
7499 9389 34
1175 1182 21
8542 9749 51
2078 8419 10
3451 5610 64
6175 7857 71
3162 5448 44
1860 3705 4
1942 7112 93
3296 7679 9
111 2318 58
6965 9340 27
5637 8040 21
2411 6116 29
1192 6785 26
530 4888 46
120 1102 53
2152 5683 6
8943 9802 46
4221 8609 62
702 6623 46
54 1251 53
4821 4992 98
171 6306 50
1304 7247 70
3699 4975 20
3614 5328 36
2613 3321 79
1118 6586 46
3989 5216 39
121 7519 59
1532 6255 57
3299 4667 88
27 544 87
7539 7890 97
2521 9150 90
1713 6300 14
3026 9125 42
6146 6732 25
1458 2185 51
4650 5001 15
5191 7611 14
735 2626 78
5206 9279 69
1042 9688 33
5074 7686 36
546 1883 28
530 2356 20
8125 8959 73
2958 9473 82
2024 4477 66
4343 6226 21
2144 2698 14
1934 6117 95
4021 5628 94
4540 8540 1
4694 9935 38
9124 9454 86
1552 3351 60
576 1040 80
2329 7092 2
8386 8687 53
1321 7718 34
8066 8465 21
7522 9117 92
4282 4814 32
149 1909 40
2001 6481 14
5675 8654 69
4646 9968 76
414 1254 62
146 1836 49
201 1327 28
5229 8702 23
601 3303 99
4976 7186 62
720 5656 12
1685 9312 80
2805 7419 40
1882 3293 77
4715 8085 11
5111 7398 51
2902 3914 52
3911 6023 61
1060 7980 95
3306 8923 59
1255 9162 37
4976 8409 100
5268 7919 50
7938 9851 58
2827 5232 67
5589 9423 1
1205 5018 32
1609 7395 59
4637 5920 12
2252 7077 76
3876 6539 32
4893 5947 34
16 2694 32
1618 8300 64
5047 7165 57
5381 8077 37
1573 2997 98
2348 2634 63
4181 9191 52
475 5217 70
3010 4914 90
300 2221 4
4751 5795 65
1934 4825 99
3253 9225 82
3853 4211 30
4525 4894 3
2132 2871 79
3868 5948 74
567 2007 31
2179 2406 80
249 6197 2
219 5334 22
4981 9071 13
2088 2376 20
6087 9398 99
4022 6088 76
4035 5804 67
1996 7334 49
2735 6845 38
2239 3555 5
366 3612 49
2399 7824 2
3323 9869 91
873 1189 41
587 2035 47
3380 9443 33
743 8973 17
2232 4026 83
2920 7839 35
1876 4748 86
4085 9572 8
3518 7914 48
1462 9479 22
3446 8456 7
7319 8557 88
5876 6842 72
1464 8317 66
6212 9125 97
5885 7167 38
768 7106 53
842 4917 45
1028 1590 33
5554 6770 65
4457 5650 61
7669 8596 11
156 1137 51
1137 5669 69
522 1710 73
6165 7781 10
4545 9269 14
3302 4700 16
2986 5510 27
581 978 47
4911 8669 15
1630 4653 63
1300 1783 73
4094 5391 63
7427 8973 73
690 2313 18
610 1080 64
2690 7621 73
3905 5118 38
987 4765 36
2101 5838 43
6621 9565 74
2306 6601 64
6762 8451 62
3156 7807 49
1939 5937 71
770 2304 44
3996 4001 41
4914 9354 95
3451 9245 27
3637 9134 12
5612 8322 50
2450 9838 14
6230 9639 80
2139 9649 8
397 419 57
826 1079 65
4479 5875 42
1924 4922 53
4698 9269 6
4394 8774 22
456 607 12
1255 7473 59
889 8994 52
1418 5820 71
1032 5482 11
5574 7966 15
2900 3528 36
886 1963 64
3279 4435 59
4654 4841 50
8025 9257 37
2944 9431 9
5636 7296 75
1169 8786 5
796 5783 79
5124 6935 31
5137 5219 67
2947 7610 39
629 8507 42
4188 8452 90
1469 4754 14
1257 6772 63
9399 9867 33
133 2840 1
3566 3874 54
4695 6279 45
6416 8496 8
4 5042 52
5031 9565 69
766 4852 49
7853 8740 41
884 6814 29
659 2063 89
2272 6283 14
2955 4148 61
3903 6164 40
7799 9881 44
1143 2552 78
1833 6595 86
491 3328 30
4097 9897 71
2871 8121 13
7088 7313 65
6188 7375 65
5392 8891 97
6006 6408 51
48 1049 17
5801 6742 28
2074 4924 13
2100 3165 90
2686 7442 60
3168 6781 52
808 6189 9
7982 9447 82
6697 8886 12
2423 9719 30
482 8471 90
6463 9480 50
738 2341 59
1473 9781 2
5514 9309 66
7127 8167 4
3238 4521 31
7139 7308 4
833 8218 84
4132 5201 71
5231 9971 12
834 3709 48
140 9825 98
407 4351 25
3088 8387 65
6466 6947 9
4744 9746 44
1524 7123 45
1294 4212 99
1731 9146 29
4255 9212 60
4966 5255 75
2171 3631 48
1428 6849 28
2316 5862 68
572 2959 22
40 4454 13
2580 2854 56
1377 8321 76
5457 5892 19
7518 8838 96
2151 7550 35
551 8691 19
2378 6901 8
3882 6999 1
1036 5379 81
2625 6805 72
6668 6767 22
804 7932 66
695 2193 24
5513 6088 73
3084 4339 65
1938 3111 70
1834 8859 36
949 1583 44
5154 6780 81
396 4709 54
3877 8052 53
2482 8728 97
3637 3699 6
3650 4391 24
1564 4286 82
755 4646 69
6485 7073 17
8743 8935 68
6892 8472 84
2174 4811 69
4101 7416 27
1170 2561 64
2798 7792 60
454 6047 28
522 1143 77
2846 8688 96
531 1791 62
3272 5120 71
6170 8189 81
1594 7811 5
4440 6446 19
1564 2769 29
1855 4001 8
786 1890 61
493 6655 77
269 4014 87
2549 7804 65
2168 4869 12
8299 8925 15
4172 6250 26
6309 8055 81
1688 3359 100
8355 9923 100
4496 7709 55
1682 2269 69
1516 5899 91
5952 9371 41
799 8477 93
1607 4730 89
2928 9380 31
128 9166 78
4253 9524 56
2018 6324 23
958 9654 82
4773 7663 98
7262 8807 14
5416 6057 17
1297 1595 83
7723 9206 17
2410 6066 8
1195 6130 44
1122 8893 21
1680 2095 67
1897 9103 69
757 6498 38
7462 8131 50
2417 7320 81
1676 6209 98
1025 9311 26
4393 8705 46
392 4684 84
1480 4523 32
2228 7956 28
6771 9924 32
911 1798 2
3978 4370 92
5503 6779 6
2661 5007 100
425 9580 63
31 5820 37
9 8190 38
1078 8348 55
918 4906 96
1989 9040 35
871 7105 82
656 4061 7
6000 9178 46
6037 8491 51
4704 8445 16
3597 5365 50
2266 4018 66
2057 4781 17
6965 9594 78
2405 3205 18
3030 4941 72
6084 6917 80
820 4223 78
1170 7022 33
1309 6582 13
7277 8190 29
1908 6001 75
771 5359 17
1414 4487 99
4710 9661 82
1265 1546 65
5861 6066 82
8742 9920 29
3686 4638 31
573 9078 59
726 5563 82
9268 9702 57
4184 5525 64
620 4418 32
1161 4080 36
7306 9511 19
3328 3783 57
1311 5238 38
6805 8715 57
14 1309 13
2233 7760 98
2072 7065 31
6945 8457 1
1413 1984 15
642 2213 99
5731 8431 56
4136 7797 46
6771 9237 19
1244 5887 87
6183 7957 11
2322 3523 72
3140 7695 24
1010 8935 15
1514 3868 67
198 613 33
5257 7316 99
3216 8061 86
1475 5607 75
1897 2349 92
3992 6155 13
1292 7753 61
640 1827 75
187 8054 49
7530 8933 63
8104 8450 39
4099 7584 20
2896 4235 20
5515 9445 48
989 1834 19
4733 8480 30
4936 9140 90
4661 8617 60
1364 3467 32
807 7990 48
6246 7632 16
2835 4860 57
2804 9866 9
5037 6426 41
5151 7446 75
7486 9022 83
178 279 71
27 4353 33
8361 9154 23
3687 4806 56
4777 8663 32
4681 5950 38
3019 6798 75
4833 7582 42
2975 8988 95
6345 7757 36
2828 3623 56
500 2830 78
8220 9834 5
1797 7479 65
1008 3819 75
8899 9059 68
5469 8168 47
1472 3441 40
3172 6588 32
3023 4494 18
589 8027 49
876 8648 81
2899 9181 60
711 5804 60
827 2447 70
398 3091 52
3 3388 27
6261 7020 19
74 4553 58
5469 6087 94
4140 8929 58
1905 5479 76
286 4471 73
1048 1869 79
6532 7010 49
3362 3621 65
7421 8286 86
5683 9703 13
7259 8857 6
9073 9695 57
783 5579 15
2920 9832 74
1889 2889 27
4218 5361 24
6127 7524 17
1648 9614 23
2226 9482 88
4047 9296 38
1734 4254 48
1301 5776 7
175 5316 55
4771 9575 61
524 1251 83
2129 7887 84
1792 2113 63
4669 9628 55
429 5133 98
1574 4939 70
3052 8850 85
4497 6670 33
1027 4901 39
112 5329 12
1703 6267 11
4151 5494 51
1948 9193 97
3709 6125 10
5254 6386 52
135 794 50
4368 9060 92
441 9588 97
8359 8730 91
5769 7688 91
7451 8249 45
7566 8986 82
3861 7250 33
8762 9389 11
1603 4568 69
172 2415 76
2615 3941 3
7976 8471 79
3034 4448 49
6253 9712 96
2062 6939 34
6002 6909 95
7756 8906 64
2060 4764 37
4117 5684 87
6149 9898 11
3395 5539 85
9233 9980 9
1896 8617 87
5957 5967 49
519 9808 68
3291 7007 9
3704 9418 20
635 6042 53
3395 3788 27
2823 3151 81
1723 5333 69
7794 9860 67
3464 8510 91
242 3603 36
442 1421 36
6479 8684 32
18 7040 10
5350 8361 76
1500 1604 56
2812 6607 94
9696 9832 95
5030 7952 45
2823 5859 77
1879 8158 71
2023 2726 86
2601 4426 86
3600 6338 55
1892 9037 54
5441 5930 86
3602 7127 97
4090 8334 47
5559 7624 30
4624 7766 62
5073 8675 99
1530 3825 20
3372 7069 92
3073 9515 38
7306 7523 73
2079 7530 33
4104 8727 25
5923 7725 76
1275 3228 14
3810 4279 66
6604 7684 71
1218 9625 22
2713 9611 22
1782 2552 42
4428 5997 41
4517 8440 69
8607 8904 50
4140 7899 85
5900 6388 5
3432 7229 66
2926 9397 56
1027 9168 54
5884 7225 13
2181 3677 36
5490 7107 81
933 7083 78
5810 6875 99
3595 4186 36
1376 4784 19
9385 9861 97
805 8680 32
7979 8848 65
4843 6568 24
2579 9607 11
3224 9572 25
1834 5236 34
7985 8336 66
4125 5530 54
3472 5292 95
1140 9251 100
1696 3636 87
4545 4718 95
7578 9791 26
2195 9218 68
1061 8298 40
647 5914 81
6353 9575 19
180 8098 100
7038 8354 74
812 3606 11
3318 5923 57
1095 6816 16
1782 1853 94
3856 8114 78
264 7659 40
2918 7082 27
2785 9807 70
3359 3522 32
1204 9038 58
4809 7564 20
1672 9400 47
891 5010 9
555 9433 68
9559 9940 7
847 6765 38
3502 9686 33
49 1789 27
3568 3831 30
818 2512 56
1251 6687 23
304 3825 65
179 7315 86
1784 8935 17
6172 6448 26
5296 5378 40
4874 5295 17
6425 6610 70
5260 9067 66
3750 8494 77
575 8833 98
3685 5726 13
3268 4521 63
3104 7514 22
856 3292 99
3847 7800 60
2953 8567 27
8915 9688 74
637 9453 97
6133 9963 31
1725 9550 63
8278 8316 18
71 1556 17
7568 8482 56
8379 9092 47
3273 5213 3
3323 7562 95
1507 1907 46
312 630 69
1490 8798 5
4167 7336 57
3872 4663 19
6132 7836 47
1492 6072 62
794 2348 26
2501 3183 93
2565 9307 34
4402 5624 74
1808 4349 77
244 2538 99
4942 9015 75
4690 6679 99
4207 7964 46
296 8322 47
781 6979 53
2097 6145 17
3267 6431 69
3963 7786 12
291 476 96
197 6504 77
2625 3338 77
1291 7596 55
4292 8756 38
3528 5048 69
423 4864 35
6837 8411 7
319 7438 44
2060 4230 30
2787 3407 10
3358 7267 99
4440 6225 88
4081 8921 91
2383 6866 9
1726 2750 9
1900 2282 48
2208 5270 21
566 5693 70
5153 9983 92
4987 9537 30
3091 5542 85
2829 7566 29
4857 9243 73
750 4890 6
769 9418 83
6369 7563 53
2750 3896 83
8634 9212 12
865 3119 76
1869 5585 53
3384 9144 82
5397 6160 27
2411 3765 82
4927 7744 26
1517 7253 76
3716 7228 54
2308 4584 81
2036 9759 84
528 6356 40
5931 7090 36
2574 2698 30
7161 9595 62
757 785 99
7730 8267 70
1805 7798 45
3180 4719 20
6630 9377 61
2381 9289 12
3650 7835 47
2385 8356 39
1842 8330 64
282 6698 65
4515 5867 87
4346 7984 80
4965 7976 71
1696 2977 63
6658 9334 58
9735 9972 76
1856 8501 1
198 9602 38
1982 9892 79
2862 3682 92
3831 5593 31
108 2740 57
7759 9794 58
1530 8808 73
6358 9950 80
1171 1902 98
530 6938 35
1004 1108 69
115 9389 38
96 6217 7
3744 5091 3
64 9853 21
3857 4676 97
8392 9762 34
868 7566 52
3417 3973 39
7080 7385 7
4259 9954 86
1686 1688 66
3560 9195 78
694 6906 49
1655 3081 41
253 4438 12
3983 6379 45
1912 7670 80
180 9375 42
1627 8683 33
9103 9381 63
579 4344 44
3782 7381 65
1609 4189 75
1060 7896 88
7176 8175 5
3215 7338 57
4541 4939 49
7750 8468 30
3126 3915 89
5390 9239 80
4288 7603 61
3075 6447 60
2010 4324 78
5980 8342 92
6793 9726 21
585 3716 51
5956 6910 55
4529 9276 3
5400 9307 83
7809 8987 59
732 2045 79
9000 9768 84
5187 7420 16
2242 4821 52
2747 7201 95
2744 4818 11
4605 5683 21
2975 8858 17
4725 6699 74
5731 9594 82
992 3969 65
767 4925 59
8457 9316 67
2398 5123 27
2880 8439 42
8243 8555 41
1033 7079 91
1046 8020 79
3321 6211 98
1968 2078 16
2445 9082 77
5040 6876 4
134 4130 35
1198 8931 40
1570 5040 69
661 7668 68
8387 9049 29
7795 8179 74
512 8025 73
5444 9554 28
2480 2549 71
731 808 2
2781 4389 71
3740 4312 84
277 4685 6
631 672 68
2803 3939 78
240 7187 32
4420 4638 92
8482 8858 22
3143 9952 36
1364 8835 44
683 6216 25
330 2144 84
8299 8490 15
3139 7295 38
4968 9723 99
8971 9521 15
1008 5445 51
8443 9464 89
269 7673 54
2511 9451 27
2599 3647 18
1633 1963 20
4014 7560 66
2890 4869 40
2659 4749 49
2194 8673 10
6389 7733 77
891 7502 51
2477 7290 5
1529 4304 95
1387 3834 94
8964 9701 83
3339 8543 99
2501 7564 62
676 6692 89
2287 9129 42
349 8368 57
9606 9773 59
8988 9808 20
471 7254 85
5677 5862 100
1681 9400 84
8580 8598 72
5396 5649 11
4747 7974 34
1565 1969 70
5795 6060 37
1645 7236 62
1654 7143 12
2452 6043 69
1821 7441 88
1551 6829 48
3583 6848 41
7764 8315 45
4725 5331 63
6370 6439 80
5235 6419 26
3147 4969 96
5053 6421 21
3586 9677 98
213 7128 48
5400 5748 59
7210 8392 20
510 5205 73
1972 2228 14
1240 3310 4
3394 8429 44
720 3183 47
1968 5836 53
1368 4497 49
5260 7116 19
108 6726 55
