1000 2500
245 388 28
106 858 12
398 418 6
682 732 63
385 725 70
82 300 9
276 553 70
500 997 45
194 462 56
687 780 6
89 220 98
290 791 92
195 369 3
98 904 55
102 447 38
748 824 14
70 153 26
805 858 75
203 942 93
385 701 35
83 789 60
353 574 39
409 764 58
727 793 95
525 534 67
308 749 33
161 284 66
326 509 30
220 221 49
44 112 67
151 226 80
101 590 24
304 667 95
233 350 39
346 616 96
564 847 31
377 753 76
66 585 60
108 263 38
785 907 53
702 939 3
62 130 50
203 844 52
158 953 90
70 719 76
713 761 42
471 729 38
39 576 59
812 832 97
216 933 3
70 862 27
489 863 69
40 712 76
43 975 24
136 251 26
553 634 91
193 793 29
141 919 38
73 545 41
242 357 46
151 957 49
373 765 66
27 934 76
266 722 98
363 443 49
4 414 44
812 936 57
120 190 8
691 850 83
452 712 21
109 281 28
2 724 4
521 892 42
755 891 30
632 963 97
324 916 74
348 920 28
920 921 26
689 892 37
191 324 18
193 877 52
68 271 81
434 507 34
146 634 98
660 829 9
31 991 20
120 194 39
548 605 90
22 589 59
207 579 37
48 828 62
490 565 2
733 781 35
585 837 28
847 915 86
904 965 41
278 512 69
120 895 3
209 783 5
174 747 56
322 550 73
367 543 31
172 325 63
119 228 5
70 428 17
54 801 60
36 276 69
115 821 94
799 999 19
377 644 53
32 57 89
149 649 31
496 864 31
25 206 39
105 806 47
44 480 70
211 612 69
430 781 37
566 836 44
251 849 57
293 794 83
55 687 73
167 817 46
522 861 72
62 230 56
209 462 59
357 649 10
404 738 71
539 562 58
315 486 85
91 607 26
679 701 21
153 394 25
526 618 31
553 840 75
38 469 25
26 389 16
198 570 75
383 875 4
167 373 50
632 658 78
542 846 98
64 793 23
549 621 91
91 112 32
115 716 74
522 727 39
29 485 84
15 379 2
296 929 41
759 875 78
436 676 10
577 923 62
135 920 52
742 896 95
138 473 70
191 593 87
506 680 100
532 627 7
366 867 90
403 577 43
707 869 6
139 871 7
515 704 63
960 972 34
409 992 6
174 879 31
130 932 13
93 976 50
480 960 9
10 875 97
87 317 3
441 739 66
142 722 20
252 655 60
664 921 10
22 617 49
481 774 67
335 900 63
411 767 69
124 697 92
747 787 54
109 833 30
224 886 88
249 847 86
344 547 32
515 713 25
329 382 96
257 359 32
151 614 63
338 939 24
248 394 68
599 825 13
672 929 70
484 631 48
267 906 89
262 848 78
964 996 60
408 762 7
135 633 83
281 538 15
194 310 65
255 643 63
254 665 93
367 858 12
635 715 22
522 680 47
742 946 76
397 569 29
300 427 6
48 468 54
359 875 87
32 744 61
99 995 97
134 956 92
50 443 4
34 567 9
551 947 33
588 703 65
77 413 15
350 773 24
573 931 31
470 525 37
62 722 31
546 955 94
578 972 83
13 406 45
549 745 99
516 648 40
544 836 15
161 486 16
509 899 66
517 694 28
402 904 51
480 759 9
226 442 83
64 257 11
448 992 16
307 496 99
401 765 91
437 642 19
65 666 51
320 971 84
545 636 77
140 893 56
107 825 63
236 871 86
665 848 18
387 473 82
225 295 21
255 890 16
693 861 4
272 929 51
812 880 7
528 915 96
286 935 52
178 788 57
235 845 4
180 397 56
99 223 60
124 144 96
675 981 89
234 405 66
442 592 91
243 724 64
300 662 1
374 916 97
451 667 14
161 780 3
234 520 98
336 535 82
79 321 88
100 397 1
210 240 21
799 950 54
35 336 93
238 584 70
733 885 64
75 544 73
195 704 44
21 612 31
405 842 54
617 625 21
465 652 83
139 335 78
125 229 90
94 908 63
5 999 85
331 452 24
645 869 11
427 584 69
523 575 52
140 294 14
308 359 49
149 454 97
371 714 11
64 72 35
715 894 58
284 917 19
798 988 61
161 393 47
150 542 79
707 760 36
67 143 72
255 389 9
44 754 36
634 683 59
16 339 8
252 684 65
72 325 9
75 429 68
131 495 19
62 718 4
86 890 37
87 151 70
259 435 41
596 616 85
206 515 18
345 349 20
114 418 90
494 691 59
845 852 85
173 634 87
880 975 64
275 909 1
238 692 93
518 922 68
818 960 15
412 420 94
303 888 40
363 907 4
73 322 52
41 342 6
593 673 41
319 461 99
708 758 62
315 941 36
143 677 96
11 546 10
9 206 65
64 954 1
195 874 28
201 745 81
420 845 89
862 892 99
210 648 41
378 842 67
692 817 26
4 966 100
384 546 96
697 974 1
441 597 85
170 950 37
192 819 32
110 453 67
695 913 45
239 756 17
774 801 87
21 535 99
153 793 32
460 947 17
486 610 42
30 351 64
340 806 14
418 719 6
471 699 68
135 309 87
139 363 72
167 601 12
277 574 41
429 787 22
248 429 35
638 857 58
342 394 98
590 811 59
421 767 52
149 474 63
123 332 4
181 937 53
134 273 95
802 890 59
252 927 4
77 729 37
125 130 19
219 926 61
408 650 45
63 513 69
688 934 20
47 886 89
342 397 42
556 979 98
110 621 42
79 309 1
395 765 49
532 593 9
218 940 42
607 769 47
669 712 28
319 772 24
286 585 55
664 665 95
58 229 37
313 347 36
149 266 56
83 672 62
8 326 93
599 774 23
14 875 42
164 682 52
417 813 66
99 503 20
247 360 93
458 898 67
249 684 80
16 704 4
367 388 35
395 465 69
141 226 66
127 434 36
181 955 18
774 778 14
393 752 67
412 795 39
161 423 65
414 531 70
18 360 69
517 759 82
662 721 36
524 623 91
599 799 71
87 989 94
347 589 33
582 730 36
487 727 2
197 648 9
96 192 15
423 513 44
87 756 19
109 860 7
336 366 21
65 875 16
376 490 55
232 303 62
688 872 92
256 404 53
661 950 10
204 519 29
461 655 78
906 953 88
137 379 41
253 813 38
398 611 16
195 757 78
541 561 12
466 515 65
474 733 5
147 164 37
367 764 85
407 832 20
89 329 41
677 881 58
91 348 70
223 262 96
425 475 3
209 510 26
418 746 77
735 950 18
187 612 91
222 592 3
82 191 25
335 718 100
599 813 66
353 779 94
39 257 13
205 206 32
171 639 37
598 910 78
34 982 52
111 809 50
25 355 12
244 785 97
255 595 42
304 486 16
584 973 7
262 813 98
269 856 20
192 626 11
689 789 78
887 942 29
411 657 31
12 587 24
219 578 98
252 798 28
39 957 61
180 863 50
921 973 34
314 478 72
746 992 23
68 244 78
179 395 99
398 540 18
574 719 85
425 706 43
585 892 44
72 94 91
214 642 37
56 301 96
183 911 86
404 968 54
258 559 55
360 909 53
830 889 32
541 805 81
492 846 65
386 789 99
455 855 56
9 554 78
138 629 10
679 805 10
461 768 78
27 687 97
58 454 81
424 837 68
45 758 45
138 382 84
156 574 51
250 321 17
693 962 24
56 325 98
222 872 61
8 40 97
372 710 24
780 784 77
31 414 29
811 938 24
131 889 23
722 921 3
259 969 29
229 940 78
602 707 75
38 761 10
673 913 7
314 369 91
317 719 87
12 712 4
347 686 9
132 517 64
443 850 13
709 856 45
46 632 45
47 348 10
657 949 40
36 220 60
144 213 36
164 950 57
55 492 32
437 593 98
630 769 73
276 804 48
542 902 76
672 731 23
343 401 68
11 883 52
467 716 3
332 418 21
703 742 81
83 339 64
49 615 24
374 923 70
604 726 26
200 383 94
37 142 70
276 745 40
297 337 17
512 573 35
308 314 44
166 637 94
249 358 17
385 438 85
255 973 75
834 900 44
146 912 90
233 960 33
253 413 7
574 962 80
172 690 63
160 613 68
63 250 17
17 812 75
386 548 32
21 819 87
121 433 47
176 511 95
916 960 65
67 608 89
7 127 18
583 950 65
37 67 63
179 835 94
5 752 24
211 319 82
730 739 17
112 939 44
72 778 19
90 447 28
1 360 12
165 431 52
41 164 81
367 585 20
521 962 76
276 767 88
388 465 27
526 795 65
69 239 31
261 693 6
435 461 79
458 704 8
572 711 94
390 563 41
89 415 17
295 792 19
185 505 62
519 530 67
647 755 55
445 482 50
30 62 46
126 242 16
164 641 71
292 363 46
185 362 81
9 481 76
246 269 2
561 711 55
249 758 90
324 424 50
161 721 26
492 568 49
538 612 4
465 986 61
341 941 87
257 823 92
280 529 50
151 278 2
286 619 47
54 711 73
38 653 26
440 652 49
276 943 41
45 565 51
431 982 24
89 964 41
863 947 20
59 723 95
297 759 45
138 539 81
333 964 83
332 707 85
591 625 56
611 728 4
97 98 94
722 845 62
134 146 31
395 1000 93
126 841 63
200 490 43
867 947 60
852 979 55
86 545 3
74 383 49
348 626 2
591 663 99
250 776 38
545 942 73
289 591 65
828 941 82
117 625 19
853 915 6
30 524 75
940 972 39
420 616 18
213 618 64
498 695 28
724 771 8
178 825 85
68 552 79
288 345 36
329 872 19
236 716 30
310 335 88
556 773 23
440 561 2
150 553 27
82 892 47
138 954 52
508 588 52
851 944 58
263 411 95
216 293 96
342 368 67
697 973 82
422 887 18
259 275 97
39 778 78
116 168 83
743 875 10
691 833 8
672 834 63
784 839 3
93 648 100
293 921 93
424 481 97
687 729 58
675 873 51
24 717 90
708 967 35
476 887 19
631 820 70
69 315 98
270 867 19
876 983 66
453 471 83
701 925 31
730 992 99
74 281 9
251 771 84
239 764 6
2 704 69
115 121 56
5 693 98
25 724 90
178 811 54
505 873 41
221 796 97
44 832 66
616 928 55
908 921 22
157 277 94
51 453 7
87 387 13
344 739 63
45 439 97
404 480 42
34 947 26
20 130 75
756 833 47
294 368 9
701 784 16
485 491 10
17 541 93
383 881 96
64 330 44
102 150 8
324 353 34
434 596 68
164 683 94
59 410 81
186 955 62
190 334 60
429 697 99
48 355 36
554 586 100
452 699 4
17 319 49
774 888 20
21 688 95
96 932 70
580 703 43
391 456 48
272 549 68
75 613 73
9 881 83
887 962 80
178 221 4
34 227 84
669 704 11
300 712 5
154 569 2
180 835 90
472 828 31
635 637 69
546 914 29
30 689 84
665 871 28
971 985 65
493 811 93
441 957 10
577 950 73
209 297 36
249 447 77
585 662 57
339 423 45
531 772 35
70 128 97
938 990 81
461 573 44
225 967 11
393 760 28
124 857 83
422 637 97
136 885 77
241 312 38
126 956 29
434 582 33
539 968 58
224 901 5
6 15 41
428 437 35
301 746 95
16 421 55
507 795 16
734 885 82
241 765 36
169 329 27
467 505 61
263 976 51
267 590 31
126 670 41
555 556 29
607 895 36
295 802 14
441 823 25
150 921 26
281 491 22
32 340 50
180 543 42
244 636 62
460 657 45
101 608 30
135 273 9
412 556 74
750 887 78
180 654 5
36 285 85
331 971 10
10 936 28
742 828 43
266 717 75
825 960 91
113 886 51
77 915 27
301 437 95
677 708 62
860 907 53
402 930 7
166 284 63
153 313 71
541 811 95
664 758 12
117 499 66
299 778 44
84 236 66
68 358 57
87 113 23
197 721 8
290 926 20
194 652 9
212 723 3
565 579 34
751 762 89
519 931 98
33 46 45
728 853 60
272 666 64
107 368 73
326 457 10
518 971 63
500 929 18
472 675 80
181 197 55
419 720 51
296 592 16
673 738 74
219 693 2
354 961 31
465 472 77
545 685 78
490 763 78
879 910 77
491 825 96
50 450 24
572 659 51
99 879 39
474 593 41
52 225 67
654 953 7
90 419 24
1 849 13
297 657 72
814 910 48
85 236 54
268 457 39
416 450 70
324 331 11
688 897 58
560 900 75
193 398 84
321 625 69
218 446 86
112 751 8
812 892 32
214 249 92
199 367 74
550 733 17
111 948 96
384 654 84
207 864 69
82 346 90
282 511 55
413 552 20
250 555 42
86 654 8
108 683 10
396 912 36
552 582 66
77 85 77
391 655 74
566 620 78
91 524 99
58 924 11
645 921 3
577 817 7
68 703 65
179 481 51
640 669 34
146 737 11
509 603 13
25 177 47
691 903 21
359 781 41
214 591 41
343 425 75
630 648 41
259 486 1
315 712 5
161 341 53
272 645 47
510 974 44
150 177 50
320 434 43
157 619 55
640 741 66
4 449 99
723 939 61
230 868 12
252 306 97
365 890 71
422 928 3
650 882 61
541 663 70
730 938 98
801 970 79
508 698 79
353 630 28
541 776 50
428 685 47
381 651 88
534 740 70
332 772 67
540 814 31
317 729 45
141 523 80
18 192 92
627 636 39
41 655 68
190 834 45
801 850 44
73 318 88
320 343 74
50 141 14
301 470 26
550 710 80
535 796 11
17 398 61
627 922 70
112 196 51
150 208 46
608 862 84
625 656 30
366 578 14
183 455 49
167 962 29
422 553 23
391 497 74
51 129 70
34 347 80
414 952 69
127 636 16
55 958 12
24 1000 68
99 803 77
82 431 49
85 100 25
694 787 42
492 786 84
491 794 85
24 535 55
167 177 57
260 469 14
224 425 18
737 938 93
546 676 66
379 861 87
472 851 3
107 913 42
73 513 87
465 833 16
436 744 10
429 497 38
106 949 79
77 533 98
208 716 62
63 636 100
115 175 12
111 287 11
59 326 54
165 456 93
23 644 59
225 598 49
173 195 15
563 839 81
639 846 1
602 694 68
36 205 80
482 888 71
593 679 22
479 819 18
704 787 71
339 539 60
726 901 74
488 969 12
69 217 17
15 966 46
237 895 8
290 652 64
43 308 84
499 801 5
426 515 46
101 712 79
69 964 8
802 870 76
366 793 67
19 913 80
313 761 55
308 364 98
339 575 77
677 987 23
235 952 66
713 805 81
120 648 77
137 302 38
381 469 47
350 668 41
629 703 92
466 872 45
565 935 97
751 781 46
91 800 19
701 797 41
47 533 81
378 444 28
802 865 30
96 201 68
350 499 56
328 887 94
115 401 14
102 116 52
216 793 52
12 657 16
661 711 53
1 443 34
271 480 94
610 948 27
26 30 39
706 908 98
37 833 5
603 735 10
251 482 30
271 751 77
59 641 46
595 819 41
123 684 57
362 428 52
253 331 8
96 831 3
189 675 19
372 623 61
376 618 62
124 531 24
523 784 2
15 214 14
494 932 10
188 540 3
852 897 86
32 134 94
395 689 9
343 480 22
89 684 66
326 813 67
59 354 75
118 222 67
90 897 39
87 849 11
329 770 22
149 786 16
279 917 64
782 910 61
416 515 74
350 742 88
633 880 6
687 728 28
335 823 86
141 143 14
454 789 34
348 885 58
169 560 36
719 989 42
22 295 12
613 704 3
352 495 88
597 644 92
9 675 99
602 738 16
487 499 91
548 823 48
244 623 8
371 865 5
68 266 82
12 559 15
161 278 69
713 961 80
772 785 47
518 895 78
100 359 72
48 214 90
488 925 27
514 889 14
219 680 44
92 730 47
189 550 55
299 625 27
284 849 73
139 427 69
158 942 48
237 655 34
256 487 58
204 946 86
727 801 96
14 407 21
201 652 76
147 562 12
810 875 28
595 966 94
62 419 33
618 934 93
198 606 98
666 772 49
23 76 6
79 147 56
154 838 74
527 972 71
549 713 53
73 219 67
128 271 92
75 901 6
477 702 50
22 140 16
276 703 60
354 638 66
585 880 34
415 632 12
396 542 55
91 350 24
364 477 11
258 494 27
79 122 97
651 679 30
301 460 64
696 828 64
324 901 53
573 811 29
426 815 48
34 558 17
164 705 12
473 553 63
240 295 53
195 529 11
377 863 2
250 317 80
378 886 16
821 893 12
436 619 45
109 187 82
58 616 23
112 763 15
422 898 21
132 441 30
159 906 73
189 227 48
82 552 11
14 555 41
109 663 7
129 182 13
844 974 19
425 616 85
407 712 32
304 802 2
68 464 43
214 403 86
774 882 10
291 572 89
550 568 33
167 811 20
703 757 6
626 962 12
657 910 96
96 120 87
148 647 72
315 909 99
269 307 71
806 908 31
435 490 27
275 491 20
6 836 70
82 513 11
11 651 82
357 363 45
655 788 5
231 763 93
343 413 73
625 948 62
384 689 67
331 343 30
65 225 75
106 733 61
141 800 87
355 639 70
945 974 37
451 811 22
69 376 41
392 421 66
94 259 16
499 676 17
557 837 69
730 990 98
324 611 86
454 566 31
346 528 15
38 817 98
187 540 64
834 942 96
602 826 67
641 698 26
292 369 41
596 874 66
61 172 33
599 623 34
83 302 83
767 826 25
464 930 3
336 506 58
130 557 62
60 430 65
285 708 75
444 679 68
283 700 64
234 287 21
271 694 60
346 539 30
129 215 45
149 152 51
412 642 23
503 910 12
624 896 48
107 948 26
327 639 31
718 974 38
208 693 56
667 963 51
227 645 74
449 533 32
431 901 92
625 893 15
219 659 15
824 968 30
549 662 17
54 577 88
145 878 88
277 819 50
26 46 48
137 558 26
64 602 76
29 712 67
107 457 11
509 896 31
420 813 9
208 373 79
467 727 79
814 918 88
180 763 97
678 787 44
88 93 67
443 757 53
64 206 29
263 440 32
29 341 39
31 538 42
430 934 34
107 759 54
548 983 4
576 740 33
656 939 14
456 802 72
647 769 40
796 981 86
486 919 25
89 404 31
511 606 67
592 952 100
223 671 85
83 754 46
504 925 53
452 914 28
586 589 91
454 938 5
152 536 65
135 720 99
660 752 24
221 966 63
224 629 73
510 791 10
463 569 31
71 219 18
411 473 59
140 710 53
52 864 15
533 702 64
843 951 79
222 432 19
518 653 78
67 964 96
472 990 3
142 145 25
627 925 40
495 948 98
355 532 76
46 603 90
215 687 53
882 936 12
216 420 4
318 889 94
9 589 40
357 479 28
15 313 59
155 252 92
71 838 26
465 612 66
316 482 78
45 732 30
467 908 3
446 720 83
340 488 83
125 409 46
92 812 71
40 943 43
558 689 37
812 865 9
753 959 81
315 769 100
277 362 70
80 559 46
284 519 85
359 904 98
379 387 99
231 610 81
58 379 55
392 939 29
724 820 26
565 803 5
231 804 38
52 572 76
181 741 37
934 950 18
59 488 79
367 787 70
117 743 62
43 652 82
247 868 38
448 662 86
328 545 47
402 856 33
296 835 51
558 877 9
624 852 91
354 871 76
282 693 4
524 916 50
267 389 85
456 458 31
458 793 90
331 826 73
133 815 43
872 946 18
742 877 22
706 834 25
194 783 49
376 598 19
53 595 16
179 340 68
108 382 55
127 668 49
76 866 95
442 470 50
385 566 37
332 334 38
458 584 69
279 683 73
656 919 94
677 819 83
281 886 40
212 974 61
109 781 31
330 391 38
274 701 2
506 933 58
161 198 45
90 804 38
362 705 49
143 393 44
60 238 36
411 961 97
287 393 29
513 922 47
342 748 10
874 965 59
738 919 98
46 224 27
550 817 73
171 708 55
116 662 60
355 886 33
110 748 35
840 939 90
596 888 90
474 930 13
384 454 63
315 741 99
135 310 22
35 175 20
146 470 23
94 416 87
595 922 1
427 681 77
154 867 95
27 130 5
644 821 72
115 257 91
208 690 64
484 970 40
163 269 63
733 830 35
227 595 83
64 907 84
789 868 83
659 736 20
54 234 49
311 920 77
165 584 10
242 842 65
83 668 97
302 709 5
116 346 70
17 864 95
179 241 76
89 806 62
221 374 59
130 234 12
269 619 79
381 785 14
77 418 28
187 997 43
8 144 97
304 332 40
487 984 41
275 557 98
412 959 65
377 525 13
84 647 32
693 799 58
89 372 4
179 685 76
38 561 44
572 940 88
977 978 91
434 478 20
543 903 11
273 971 76
76 646 100
847 993 89
42 335 65
9 849 67
525 921 9
433 525 74
582 881 82
367 502 74
424 472 33
649 769 62
457 877 50
136 993 76
345 902 92
305 417 41
752 759 11
75 756 41
888 972 89
542 644 79
121 841 35
217 522 70
180 247 93
492 494 47
100 296 3
100 497 99
411 941 52
92 878 24
369 686 74
874 968 50
105 494 6
436 447 56
371 559 77
192 939 29
858 945 99
161 992 79
203 806 8
748 846 58
404 474 97
150 153 78
312 618 42
115 364 50
601 872 18
446 850 43
33 638 83
19 732 55
539 891 19
77 920 66
381 904 23
321 516 76
28 950 91
88 313 94
677 729 41
326 791 76
421 470 37
8 368 29
80 941 11
255 958 60
46 555 88
262 446 26
128 816 51
9 77 43
287 596 65
718 866 5
494 982 69
559 685 13
88 860 65
527 980 41
345 773 98
197 812 49
291 705 73
683 887 5
741 788 78
777 811 85
45 232 4
191 995 11
765 943 48
198 687 89
108 502 28
200 548 99
129 632 20
277 314 27
243 957 33
192 366 57
429 580 32
47 117 64
766 887 83
104 918 45
681 881 84
345 920 74
142 604 75
70 969 72
495 692 7
500 971 78
11 573 74
126 496 100
138 798 65
89 447 53
116 817 32
467 624 52
465 675 70
302 640 70
33 157 23
589 810 97
366 669 78
156 325 93
317 776 64
502 859 2
620 940 11
344 719 57
109 614 10
257 613 100
424 840 64
97 870 81
78 373 27
25 623 8
457 886 83
563 564 27
94 121 36
125 507 37
146 800 20
594 958 26
126 525 66
280 561 57
337 862 82
454 567 51
73 657 8
203 885 59
76 253 2
172 552 20
213 666 90
200 673 98
130 776 79
554 678 42
496 930 79
33 937 40
127 867 27
513 938 79
131 300 47
148 785 87
241 337 17
529 809 20
168 985 54
355 552 97
337 371 2
746 977 71
543 800 60
180 276 68
626 836 57
21 269 33
259 338 69
80 437 54
172 912 74
380 864 31
694 821 13
296 802 37
207 866 5
8 364 4
529 852 95
303 545 94
452 941 64
40 295 33
803 841 78
665 903 64
135 375 66
598 830 49
878 997 91
240 324 32
186 886 50
11 442 29
580 727 32
662 769 94
114 330 50
480 833 15
407 894 78
466 803 94
31 818 79
270 732 3
15 532 3
248 557 30
964 991 14
342 607 3
479 773 41
80 133 78
371 851 60
579 877 3
283 367 63
14 749 28
40 104 25
408 716 29
872 998 19
339 948 48
230 240 28
841 941 73
436 505 78
225 923 98
579 907 29
361 701 80
35 745 59
643 787 18
22 993 10
578 955 6
136 356 51
134 787 17
87 141 5
584 685 49
305 489 5
580 893 85
236 634 57
645 888 22
390 788 76
533 856 50
74 130 96
290 955 17
24 603 36
829 859 83
26 725 51
281 753 54
175 862 76
452 664 4
271 543 9
426 987 86
150 989 23
524 784 8
808 857 10
244 568 17
87 627 24
121 665 70
379 397 97
267 736 61
277 550 76
162 220 42
292 485 39
384 846 36
538 950 5
321 421 96
446 721 78
13 445 22
143 782 85
332 598 35
556 899 26
170 872 32
213 370 32
91 844 77
628 747 76
2 618 12
282 965 80
70 570 9
606 713 22
185 189 16
111 502 19
258 947 60
540 830 98
9 495 42
245 769 38
567 706 74
269 582 91
1 549 90
221 775 67
386 524 8
795 872 29
10 829 56
284 294 6
198 297 4
218 411 1
271 407 100
522 627 88
91 414 80
73 703 21
184 971 53
168 580 84
78 136 27
524 584 59
29 860 30
103 591 25
125 209 8
236 410 39
254 969 60
142 643 77
77 699 70
478 700 68
376 599 91
180 786 36
271 367 49
495 748 46
120 576 31
28 573 7
177 480 8
32 568 92
750 935 34
215 855 40
73 727 28
241 248 64
41 958 3
449 491 1
303 496 5
159 289 21
342 515 26
883 969 12
439 977 90
761 882 87
48 567 11
173 421 69
605 620 50
182 711 92
163 947 29
185 207 100
205 745 97
832 893 65
797 997 79
543 939 52
33 600 38
584 600 3
54 315 54
334 685 43
743 791 92
801 892 100
296 470 3
400 632 87
332 579 8
331 717 98
192 863 74
363 674 59
736 781 39
488 931 88
700 867 84
37 974 95
496 923 38
848 944 3
577 646 99
634 778 12
12 247 95
45 643 41
144 685 70
430 789 26
50 458 17
187 188 63
909 976 71
107 791 90
313 750 45
196 701 21
654 860 50
35 802 11
18 633 98
574 692 16
848 995 43
499 817 19
119 201 25
212 989 79
49 405 86
734 958 19
53 678 51
743 948 69
173 609 46
279 926 4
349 982 14
228 741 51
743 773 79
358 805 43
429 467 87
161 651 60
56 415 40
755 885 79
699 960 25
132 906 35
59 609 16
607 816 51
415 474 27
40 883 43
684 913 85
117 816 44
44 496 75
651 690 35
564 772 97
85 338 68
530 577 5
154 742 17
256 975 84
135 856 13
300 358 31
372 732 91
713 990 86
224 279 55
206 840 88
27 957 62
399 531 35
162 924 94
110 164 15
554 934 90
3 523 14
243 453 89
388 429 23
391 453 39
80 619 13
842 911 60
523 588 91
412 791 75
508 764 29
314 350 9
44 382 24
62 101 89
10 119 10
379 777 40
861 998 95
442 532 58
194 875 64
549 718 2
548 602 66
18 445 23
411 582 52
94 293 54
222 868 18
248 661 87
156 581 39
285 572 35
452 836 80
457 533 14
174 748 95
873 976 34
123 708 64
340 838 85
570 976 69
590 617 6
259 603 74
461 651 38
10 549 33
66 115 1
33 908 13
33 311 39
272 360 96
184 250 26
166 451 69
665 877 27
133 884 9
556 724 34
211 832 26
417 875 15
20 877 17
421 671 74
4 393 27
472 757 68
213 541 55
396 536 1
350 874 47
311 715 41
354 495 36
30 678 10
358 787 79
162 624 17
220 747 32
634 809 61
289 627 77
658 668 99
110 206 95
493 905 68
354 644 43
262 334 92
176 582 33
32 53 56
90 577 86
328 385 88
133 910 1
99 127 44
83 409 69
481 852 99
341 875 56
48 51 58
329 851 95
74 252 91
438 885 81
331 336 61
95 139 12
8 141 84
448 921 28
341 673 61
340 852 84
187 625 70
79 647 84
815 905 49
134 635 1
351 433 56
406 715 1
380 421 49
128 507 58
684 846 54
385 460 65
8 513 62
137 355 65
91 228 43
259 912 56
259 359 11
133 572 40
244 868 7
230 275 21
668 773 88
17 614 59
489 545 47
164 424 65
73 802 35
46 570 24
177 697 91
358 781 90
733 900 56
93 613 49
166 814 8
582 803 74
858 890 60
130 929 54
191 500 34
89 713 58
291 718 48
18 106 5
438 980 20
722 782 68
43 427 23
742 956 33
251 588 12
730 988 23
320 370 19
128 171 76
199 517 56
457 561 74
226 719 15
390 730 100
120 341 71
320 442 97
92 478 39
347 565 12
264 522 95
83 133 11
429 966 29
102 747 89
158 721 74
911 935 25
312 843 73
314 947 64
280 895 74
544 961 15
119 403 67
84 439 45
189 991 40
491 846 24
181 385 73
129 138 24
652 740 85
412 986 51
130 730 7
332 898 45
244 556 53
265 386 64
584 672 78
306 452 16
510 561 63
149 325 7
133 704 41
632 684 90
369 758 56
138 611 26
217 631 85
344 873 84
404 643 60
495 889 2
668 714 65
225 784 80
427 745 17
137 406 61
526 728 23
68 698 93
679 860 59
298 508 51
449 962 15
434 825 47
290 735 74
730 819 1
184 507 70
607 837 45
47 967 33
149 915 9
27 448 64
462 880 68
673 844 37
445 849 99
35 449 20
104 411 18
712 880 53
74 802 62
529 876 56
247 856 39
636 873 51
175 394 61
160 268 43
161 549 13
474 965 39
290 726 57
190 466 47
641 643 16
277 540 40
686 987 17
487 650 73
475 777 66
39 866 19
812 981 44
320 886 61
266 811 8
323 790 30
98 224 33
219 561 78
11 117 48
622 823 33
290 721 89
865 927 74
627 927 95
630 665 50
46 420 78
547 916 19
174 328 42
217 496 58
173 370 50
242 303 31
170 966 29
9 374 41
374 686 9
272 463 11
438 508 5
337 690 39
230 297 94
824 880 16
97 945 39
389 591 45
265 625 61
509 794 57
274 641 21
113 866 13
704 736 40
101 421 90
230 710 88
208 882 20
558 768 54
278 765 12
601 757 71
690 725 66
468 881 71
343 914 32
219 901 95
